timestamp,freq_kHz,callsign,raw_line
2025-11-30 09:36:51Z,7001.6,7001.6,DX de KP3CW-#:    7001.6  K0RF           CW     7 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:51Z,7030.6,7030.6,DX de AC0C-1-#:   7030.6  N2MM           CW    28 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:51Z,7028.5,7028.5,DX de DR4W-#:     7028.5  I2CZG          CW    34 dB  30 WPM  CQ      0936Z
2025-11-30 09:36:51Z,7014.9,7014.9,DX de DR4W-#:     7014.9  DR3W           CW    17 dB  29 WPM  CQ      0936Z
2025-11-30 09:36:51Z,7008.0,7008.0,DX de K3PA-1-#:   7008.0  N6RO           CW    26 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:51Z,7030.6,7030.6,DX de K3PA-1-#:   7030.6  N2MM           CW    28 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:51Z,7030.6,7030.6,DX de K9LC-#:     7030.6  N2MM           CW    36 dB  28 WPM  CQ      0936Z
2025-11-30 09:36:51Z,7003.7,7003.7,DX de KM3T-1-#:   7003.7  PJ4K           CW    11 dB  30 WPM  CQ      0936Z
2025-11-30 09:36:52Z,7030.6,7030.6,DX de K7CO-#:     7030.6  N2MM           CW    29 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:52Z,7024.0,7024.0,DX de KW7MM-2-#:   7024.0  VP2MMA         CW    15 dB  26 WPM  CQ      0936Z
2025-11-30 09:36:52Z,7030.6,7030.6,DX de KW7MM-2-#:   7030.6  N2MM           CW    31 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:52Z,7028.1,7028.1,DX de OH2BBT-#:   7028.1  M6T            CW    21 dB  38 WPM  CQ      0936Z
2025-11-30 09:36:52Z,7004.7,7004.7,DX de NU4F-2-#:   7004.7  W9VW           CW    28 dB  32 WPM  CQ      0936Z
2025-11-30 09:36:52Z,7003.6,7003.6,DX de NU4F-2-#:   7003.6  PJ4K           CW    14 dB  31 WPM  CQ      0936Z
2025-11-30 09:36:52Z,7030.6,7030.6,DX de NU4F-2-#:   7030.6  N2MM           CW    22 dB  28 WPM  CQ      0936Z
2025-11-30 09:36:52Z,7008.0,7008.0,DX de KH6LC-#:    7008.0  N6RO           CW    19 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7003.7,7003.7,DX de KD2OGR-#:   7003.7  PJ4K           CW    18 dB  30 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7003.3,7003.3,DX de VE7CC-#:    7003.3  W2FU           CW     3 dB  26 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7003.3,7003.3,DX de VE7CC-#:    7003.3  W2FU           CW     3 dB  26 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7015.6,7015.6,DX de VE7CC-#:    7015.6  ZF1A           CW     9 dB  33 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7015.6,7015.6,DX de VE7CC-#:    7015.6  ZF1A           CW     9 dB  33 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7014.9,7014.9,DX de DL9GTB-#:   7014.9  DR3W           CW    31 dB  29 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7030.6,7030.6,DX de K5EM-#:     7030.6  N2MM           CW    14 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7030.1,7030.1,DX de SE5E-#:     7030.1  WF4DX          CW    28 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7015.6,7015.6,DX de TI7W-#:     7015.6  ZF1A           CW     8 dB  33 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7030.6,7030.6,DX de K6FOD-#:    7030.6  N2MM           CW    16 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7030.6,7030.6,DX de KW7MM-#:    7030.6  N2MM           CW    23 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7030.6,7030.6,DX de W6YX-#:     7030.6  N2MM           CW    25 dB  28 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7025.0,7025.0,DX de YO2KAR-#:   7025.0  TK0C           CW    15 dB  31 WPM  CQ      0936Z
2025-11-30 09:36:53Z,7014.9,7014.9,DX de DM5GG-#:    7014.9  DR3W           CW     7 dB  29 WPM  CQ      0936Z
2025-11-30 09:36:54Z,7030.6,7030.6,DX de K4PP-#:     7030.6  N2MM           CW    45 dB  28 WPM  CQ      0936Z
2025-11-30 09:36:54Z,7053.0,7053.0,DX de KM3T-3-#:   7053.0  PW2K           CW    10 dB  34 WPM  CQ      0936Z
2025-11-30 09:36:54Z,7018.2,7018.2,DX de OK2ZAW-#:   7018.2  II2T           CW    16 dB  31 WPM  CQ      0936Z
2025-11-30 09:36:54Z,7031.1,7031.1,DX de OK2ZAW-#:   7031.1  PA7RA          CW    15 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:54Z,7030.6,7030.6,DX de VE6JY-#:    7030.6  N2MM           CW    22 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:54Z,7014.9,7014.9,DX de ES4O-#:     7014.9  DR3W           CW    19 dB  29 WPM  CQ      0936Z
2025-11-30 09:36:54Z,7026.1,7026.1,DX de ES4O-#:     7026.1  LY2AT          CW    39 dB  26 WPM  CQ      0936Z
2025-11-30 09:36:54Z,7015.6,7015.6,DX de VE6WZ-3-#:   7015.6  ZF1A           CW    12 dB  32 WPM  CQ      0936Z
2025-11-30 09:36:57Z,7008.0,7008.0,DX de JO1YYP-#:   7008.0  N6RO           CW    31 dB  26 WPM  CQ      0936Z
2025-11-30 09:36:57Z,7058.0,7058.0,DX de MM0ZBH-#:   7058.0  PJ2T           CW    18 dB  31 WPM  CQ      0936Z
2025-11-30 09:36:57Z,7012.1,7012.1,DX de F6KGL-#:    7012.1  ES9C           CW     7 dB  34 WPM  CQ      0936Z
2025-11-30 09:36:57Z,7022.5,7022.5,DX de F6KGL-#:    7022.5  9A1A           CW    20 dB  31 WPM  CQ      0936Z
2025-11-30 09:36:58Z,7030.6,7030.6,DX de WE9V-#:     7030.6  N2MM           CW    24 dB  27 WPM  CQ      0936Z
2025-11-30 09:36:58Z,7030.6,7030.6,DX de M9PSY-#:    7030.6  N2MM           CW    14 dB  28 WPM  CQ      0936Z
2025-11-30 09:36:58Z,7018.6,7018.6,DX de K1RA-#:     7018.6  K3LR           CW    23 dB  25 WPM  CQ      0936Z
